Date,Province,Daily_Case,Daily_Death,Daily_Recovered,Active_Case,Cumulative_Case,Cumulative_Recovered,Cumulative_Death,Cumulative_Active_Case
01/01/2021,DKI JAKARTA,1956,20,1643,293,185654,166314,3270,16070
02/01/2021,DKI JAKARTA,1894,26,2280,-412,187548,168594,3296,15658
03/01/2021,DKI JAKARTA,1658,10,1691,-43,189206,170285,3306,15615
04/01/2021,DKI JAKARTA,1832,21,2527,-716,191038,172812,3327,14899
05/01/2021,DKI JAKARTA,1824,19,1339,466,192862,174151,3346,15365
06/01/2021,DKI JAKARTA,2402,16,1095,1291,195264,175246,3362,16656
07/01/2021,DKI JAKARTA,2398,21,1446,931,197662,176692,3383,17587
08/01/2021,DKI JAKARTA,2959,24,2690,245,200621,179382,3407,17832
09/01/2021,DKI JAKARTA,2753,27,2118,608,203374,181500,3434,18440
10/01/2021,DKI JAKARTA,2711,31,2898,-218,206085,184398,3465,18222
11/01/2021,DKI JAKARTA,2461,31,2510,-80,208546,186908,3496,18142
12/01/2021,DKI JAKARTA,2669,34,1657,978,211215,188565,3530,19120
13/01/2021,DKI JAKARTA,3476,45,2952,479,214691,191517,3575,19599
14/01/2021,DKI JAKARTA,3165,43,2075,1047,217856,193592,3618,20646
15/01/2021,DKI JAKARTA,2541,35,2490,16,220397,196082,3653,20662
16/01/2021,DKI JAKARTA,3536,32,1772,1732,223933,197854,3685,22394
17/01/2021,DKI JAKARTA,3395,33,3776,-414,227328,201630,3718,21980
18/01/2021,DKI JAKARTA,2361,36,2801,-476,229689,204431,3754,21504
19/01/2021,DKI JAKARTA,2563,40,2500,23,232252,206931,3794,21527
20/01/2021,DKI JAKARTA,3786,33,3770,-17,236038,210701,3827,21510
21/01/2021,DKI JAKARTA,3151,30,2570,551,239189,213271,3857,22061
22/01/2021,DKI JAKARTA,3792,41,2169,1582,242981,215440,3898,23643
23/01/2021,DKI JAKARTA,3285,31,3492,-238,246266,218932,3929,23405
24/01/2021,DKI JAKARTA,3512,39,2328,1145,249778,221260,3968,24550
25/01/2021,DKI JAKARTA,2451,43,2504,-96,252229,223764,4011,24454
26/01/2021,DKI JAKARTA,2313,46,2939,-672,254542,226703,4057,23782
27/01/2021,DKI JAKARTA,1836,34,2970,-1168,256378,229673,4091,22614
28/01/2021,DKI JAKARTA,2889,40,2731,118,259267,232404,4131,22732
29/01/2021,DKI JAKARTA,3448,44,2428,976,262715,234832,4175,23708
30/01/2021,DKI JAKARTA,3491,30,3566,-105,266206,238398,4205,23603
31/01/2021,DKI JAKARTA,3474,42,3355,77,269680,241753,4247,23680
01/02/2021,DKI JAKARTA,3614,45,2352,1217,273294,244105,4292,24897
02/02/2021,DKI JAKARTA,3362,44,4577,-1259,276656,248682,4336,23638
03/02/2021,DKI JAKARTA,3567,44,1391,2132,280223,250073,4380,25770
04/02/2021,DKI JAKARTA,3632,40,3963,-371,283855,254036,4420,25399
05/02/2021,DKI JAKARTA,3340,45,2475,820,287195,256511,4465,26219
06/02/2021,DKI JAKARTA,2379,44,4434,-2099,289574,260945,4509,24120
07/02/2021,DKI JAKARTA,4212,45,4305,-138,293786,265250,4554,23982
08/02/2021,DKI JAKARTA,3142,43,3417,-318,296928,268667,4597,23664
09/02/2021,DKI JAKARTA,3437,57,2786,594,300365,271453,4654,24258
10/02/2021,DKI JAKARTA,3308,43,3245,20,303673,274698,4697,24278
11/02/2021,DKI JAKARTA,2513,51,4097,-1635,306186,278795,4748,22643
12/02/2021,DKI JAKARTA,3807,50,5636,-1879,309993,284431,4798,20764
13/02/2021,DKI JAKARTA,3018,53,5010,-2045,313011,289441,4851,18719
14/02/2021,DKI JAKARTA,2497,48,3977,-1528,315508,293418,4899,17191
15/02/2021,DKI JAKARTA,1879,42,2081,-244,317387,295499,4941,16947
16/02/2021,DKI JAKARTA,1861,62,1580,219,319248,297079,5003,17166
17/02/2021,DKI JAKARTA,1446,31,2591,-1176,320694,299670,5034,15990
18/02/2021,DKI JAKARTA,373,35,2717,-2379,321067,302387,5069,13611
19/02/2021,DKI JAKARTA,1920,6,2759,-845,322987,305146,5075,12766
20/02/2021,DKI JAKARTA,2872,40,2490,342,325859,307636,5115,13108
21/02/2021,DKI JAKARTA,2725,55,2681,-11,328584,310317,5170,13097
22/02/2021,DKI JAKARTA,2466,40,2305,121,331050,312622,5210,13218
23/02/2021,DKI JAKARTA,782,45,2052,-1315,331832,314674,5255,11903
24/02/2021,DKI JAKARTA,782,35,1857,-1110,332614,316531,5290,10793
25/02/2021,DKI JAKARTA,1581,56,2656,-1131,334195,319187,5346,9662
26/02/2021,DKI JAKARTA,1662,42,1864,-244,335857,321051,5388,9418
27/02/2021,DKI JAKARTA,1736,44,1163,529,337593,322214,5432,9947
28/02/2021,DKI JAKARTA,2098,43,891,1164,339691,323105,5475,11111
01/03/2021,DKI JAKARTA,2058,52,3134,-1128,341749,326239,5527,9983
02/03/2021,DKI JAKARTA,577,36,2165,-1624,342326,328404,5563,8359
03/03/2021,DKI JAKARTA,1437,38,2487,-1088,343763,330891,5601,7271
04/03/2021,DKI JAKARTA,2009,46,1750,213,345772,332641,5647,7484
05/03/2021,DKI JAKARTA,1160,45,1290,-175,346932,333931,5692,7309
06/03/2021,DKI JAKARTA,1615,44,1568,3,348547,335499,5736,7312
07/03/2021,DKI JAKARTA,1835,45,1765,25,350382,337264,5781,7337
08/03/2021,DKI JAKARTA,1783,48,1675,60,352165,338939,5829,7397
09/03/2021,DKI JAKARTA,867,45,1643,-821,353032,340582,5874,6576
10/03/2021,DKI JAKARTA,1046,45,1477,-476,354078,342059,5919,6100
11/03/2021,DKI JAKARTA,1754,25,980,749,355832,343039,5944,6849
12/03/2021,DKI JAKARTA,1872,50,1263,559,357704,344302,5994,7408
13/03/2021,DKI JAKARTA,1034,10,577,447,358738,344879,6004,7855
14/03/2021,DKI JAKARTA,1204,36,2367,-1199,359942,347246,6040,6656
15/03/2021,DKI JAKARTA,1555,35,1676,-156,361497,348922,6075,6500
16/03/2021,DKI JAKARTA,835,20,1491,-676,362332,350413,6095,5824
17/03/2021,DKI JAKARTA,1330,3,1183,144,363662,351596,6098,5968
18/03/2021,DKI JAKARTA,1719,20,1168,531,365381,352764,6118,6499
19/03/2021,DKI JAKARTA,1588,24,1175,389,366969,353939,6142,6888
20/03/2021,DKI JAKARTA,1935,22,1184,729,368904,355123,6164,7617
21/03/2021,DKI JAKARTA,1638,23,1884,-269,370542,357007,6187,7348
22/03/2021,DKI JAKARTA,1474,8,1715,-249,372016,358722,6195,7099
23/03/2021,DKI JAKARTA,816,11,1691,-886,372832,360413,6206,6213
24/03/2021,DKI JAKARTA,890,11,1986,-1107,373722,362399,6217,5106
25/03/2021,DKI JAKARTA,1727,12,490,1225,375449,362889,6229,6331
26/03/2021,DKI JAKARTA,1381,11,897,473,376830,363786,6240,6804
27/03/2021,DKI JAKARTA,1354,18,599,737,378184,364385,6258,7541
28/03/2021,DKI JAKARTA,1470,23,1175,272,379654,365560,6281,7813
29/03/2021,DKI JAKARTA,1014,22,1079,-87,380668,366639,6303,7726
30/03/2021,DKI JAKARTA,384,21,1087,-724,381052,367726,6324,7002
31/03/2021,DKI JAKARTA,965,0,1073,-108,382017,368799,6324,6894
01/04/2021,DKI JAKARTA,1337,18,988,331,383354,369787,6342,7225
02/04/2021,DKI JAKARTA,1240,7,1292,-59,384594,371079,6349,7166
03/04/2021,DKI JAKARTA,1098,4,600,494,385692,371679,6353,7660
04/04/2021,DKI JAKARTA,736,6,1600,-870,386428,373279,6359,6790
05/04/2021,DKI JAKARTA,523,4,1187,-668,386951,374466,6363,6122
06/04/2021,DKI JAKARTA,487,4,587,-104,387438,375053,6367,6018
07/04/2021,DKI JAKARTA,862,9,695,158,388300,375748,6376,6176
08/04/2021,DKI JAKARTA,1239,4,485,750,389539,376233,6380,6926
09/04/2021,DKI JAKARTA,1013,10,623,380,390552,376856,6390,7306
10/04/2021,DKI JAKARTA,977,7,856,114,391529,377712,6397,7420
11/04/2021,DKI JAKARTA,1031,7,1396,-372,392560,379108,6404,7048
12/04/2021,DKI JAKARTA,692,7,1357,-672,393252,380465,6411,6376
13/04/2021,DKI JAKARTA,828,6,900,-78,394080,381365,6417,6298
14/04/2021,DKI JAKARTA,661,7,614,40,394741,381979,6424,6338
15/04/2021,DKI JAKARTA,1330,6,690,634,396071,382669,6430,6972
16/04/2021,DKI JAKARTA,980,18,872,90,397051,383541,6448,7062
17/04/2021,DKI JAKARTA,1037,18,999,20,398088,384540,6466,7082
18/04/2021,DKI JAKARTA,950,13,987,-50,399038,385527,6479,7032
19/04/2021,DKI JAKARTA,973,14,971,-12,400011,386498,6493,7020
20/04/2021,DKI JAKARTA,460,14,897,-451,400471,387395,6507,6569
21/04/2021,DKI JAKARTA,602,12,573,17,401073,387968,6519,6586
22/04/2021,DKI JAKARTA,1266,11,652,603,402339,388620,6530,7189
23/04/2021,DKI JAKARTA,884,18,721,145,403223,389341,6548,7334
24/04/2021,DKI JAKARTA,907,12,885,10,404130,390226,6560,7344
25/04/2021,DKI JAKARTA,896,14,962,-80,405026,391188,6574,7264
26/04/2021,DKI JAKARTA,748,14,1339,-605,405774,392527,6588,6659
27/04/2021,DKI JAKARTA,394,17,600,-223,406168,393127,6605,6436
28/04/2021,DKI JAKARTA,639,14,682,-57,406807,393809,6619,6379
29/04/2021,DKI JAKARTA,987,23,480,484,407794,394289,6642,6863
30/04/2021,DKI JAKARTA,789,4,539,246,408583,394828,6646,7109
01/05/2021,DKI JAKARTA,926,15,793,118,409509,395621,6661,7227
02/05/2021,DKI JAKARTA,854,10,984,-140,410363,396605,6671,7087
01/01/2021,JAWA BARAT,1504,3,1205,296,85083,71909,1168,12006
02/01/2021,JAWA BARAT,1167,1,914,252,86250,72823,1169,12258
03/01/2021,JAWA BARAT,1232,2,1114,116,87482,73937,1171,12374
04/01/2021,JAWA BARAT,1079,2,1041,36,88561,74978,1173,12410
05/01/2021,JAWA BARAT,1100,8,1081,11,89661,76059,1181,12421
06/01/2021,JAWA BARAT,1470,11,1362,97,91131,77421,1192,12518
07/01/2021,JAWA BARAT,1416,2,1203,211,92547,78624,1194,12729
08/01/2021,JAWA BARAT,1824,4,911,909,94371,79535,1198,13638
09/01/2021,JAWA BARAT,1731,6,1176,549,96102,80711,1204,14187
10/01/2021,JAWA BARAT,1467,8,949,510,97569,81660,1212,14697
11/01/2021,JAWA BARAT,1475,11,1059,405,99044,82719,1223,15102
12/01/2021,JAWA BARAT,1540,15,965,560,100584,83684,1238,15662
13/01/2021,JAWA BARAT,1755,11,1059,685,102339,84743,1249,16347
14/01/2021,JAWA BARAT,2202,11,1348,843,104541,86091,1260,17190
15/01/2021,JAWA BARAT,3095,27,1091,1977,107636,87182,1287,19167
16/01/2021,JAWA BARAT,3460,42,2142,1276,111096,89324,1329,20443
17/01/2021,JAWA BARAT,1491,11,1581,-101,112587,90905,1340,20342
18/01/2021,JAWA BARAT,1486,28,1624,-166,114073,92529,1368,20176
19/01/2021,JAWA BARAT,1684,24,1362,298,115757,93891,1392,20474
20/01/2021,JAWA BARAT,1814,13,1489,312,117571,95380,1405,20786
21/01/2021,JAWA BARAT,1228,73,1593,-438,118799,96973,1478,20348
22/01/2021,JAWA BARAT,2441,8,1360,1073,121240,98333,1486,21421
23/01/2021,JAWA BARAT,1809,16,2116,-323,123049,100449,1502,21098
24/01/2021,JAWA BARAT,2328,8,1766,554,125377,102215,1510,21652
25/01/2021,JAWA BARAT,2022,2,1232,788,127399,103447,1512,22440
26/01/2021,JAWA BARAT,3925,13,2247,1665,131324,105694,1525,24105
27/01/2021,JAWA BARAT,3198,105,1796,1297,134522,107490,1630,25402
28/01/2021,JAWA BARAT,4534,163,2288,2083,139056,109778,1793,27485
29/01/2021,JAWA BARAT,3834,5,2235,1594,142890,112013,1798,29079
30/01/2021,JAWA BARAT,4601,28,2661,1912,147491,114674,1826,30991
31/01/2021,JAWA BARAT,2848,62,2459,327,150339,117133,1888,31318
01/02/2021,JAWA BARAT,2969,5,2544,420,153308,119677,1893,31738
02/02/2021,JAWA BARAT,2068,78,2308,-318,155376,121985,1971,31420
03/02/2021,JAWA BARAT,2241,10,1892,339,157617,123877,1981,31759
04/02/2021,JAWA BARAT,2020,17,2361,-358,159637,126238,1998,31401
05/02/2021,JAWA BARAT,2117,28,2674,-585,161754,128912,2026,30816
06/02/2021,JAWA BARAT,3971,4,3114,853,165725,132026,2030,31669
07/02/2021,JAWA BARAT,1987,2,2085,-100,167712,134111,2032,31569
08/02/2021,JAWA BARAT,1498,12,3219,-1733,169210,137330,2044,29836
09/02/2021,JAWA BARAT,776,17,2127,-1368,169986,139457,2061,28468
10/02/2021,JAWA BARAT,661,16,1059,-414,170647,140516,2077,28054
11/02/2021,JAWA BARAT,1060,18,1127,-85,171707,141643,2095,27969
